prompt,task_type,complexity_score,complexity_tier
Who wrote Romeo and Juliet?,qa,0.0,1
Who was the first president of the United States?,qa,0.0,1
Translate hello to Spanish,translation,0.0,1
Translate how are you to Hindi,translation,0.001,1
Get the sender name from this email header,extraction,0.003,1
Extract the subject line from this email,extraction,0.003,1
Translate good morning to French,translation,0.003,1
What is the largest planet in our solar system?,qa,0.009,1
What color is the sky on a clear day?,qa,0.014,1
Extract hashtags from this social media post,extraction,0.022,1
Translate thank you to Japanese,translation,0.029,1
What year did World War II end?,qa,0.034,1
Who invented the telephone?,qa,0.038,1
How many sides does a hexagon have?,qa,0.043,1
Pull out company names from this business card,extraction,0.05,1
How many continents are there?,qa,0.05,1
What is the formula for water?,qa,0.05,1
Extract chapter titles from this table of contents,extraction,0.051,1
What is the capital of France?,qa,0.051,1
Find all email addresses in this document,extraction,0.053,1
Remove all extra whitespace from this text,formatting,0.053,1
What is the chemical symbol for gold?,qa,0.055,1
When does spring start?,qa,0.058,1
Extract the date from this text,extraction,0.064,1
How many bones are in the human body?,qa,0.064,1
What is the boiling point of water?,qa,0.066,1
What language is spoken in Brazil?,qa,0.066,1
Convert this greeting to Arabic,translation,0.066,1
Capitalize all headings in this document,formatting,0.066,1
Convert this product name to French,translation,0.077,1
Pull out the phone numbers from this contact list,extraction,0.078,1
List all countries mentioned in the article,extraction,0.079,1
What is the square root of 144?,qa,0.081,1
Find all mentioned dates in this schedule,extraction,0.084,1
What does CPU stand for?,qa,0.085,1
Translate this sentence to Russian,translation,0.087,1
When was the Eiffel Tower built?,qa,0.09,1
Get the names of all attendees from the email thread,extraction,0.092,1
Extract error codes from this log file,extraction,0.092,1
Find all numerical values in this paragraph,extraction,0.101,1
Extract prices from this receipt,extraction,0.104,1
Get the IP addresses from this network dump,extraction,0.109,1
What is the population of Japan?,qa,0.112,1
How tall is Mount Everest?,qa,0.113,1
Add line numbers to this code snippet,formatting,0.114,1
Extract the total amount from this invoice,extraction,0.115,1
Find the product names in this order form,extraction,0.118,1
Format this phone number as (xxx) xxx-xxxx,formatting,0.118,1
Format this date to ISO 8601,formatting,0.123,1
What is the speed of light?,qa,0.127,1
Convert this JSON to pretty-printed format,formatting,0.138,1
Extract URLs from this markdown file,extraction,0.139,1
Pull out key-value pairs from this config file,extraction,0.142,1
Convert this plain text to HTML paragraphs,formatting,0.156,1
Convert this paragraph to German,translation,0.158,1
Format this text as a bullet list,formatting,0.161,1
Translate this quote to Latin,translation,0.164,1
Translate this tweet to Portuguese,translation,0.165,1
Convert this menu item description to Italian,translation,0.178,1
Convert these notes into a numbered list,formatting,0.178,1
Pull out ingredient quantities from this recipe,extraction,0.181,1
Translate this street sign to English,translation,0.194,1
Wrap all code blocks with triple backticks,formatting,0.199,1
Translate these instructions to Korean,translation,0.21,1
Convert this CSV to a markdown table,formatting,0.217,1
Translate this email to Chinese,translation,0.223,1
Indent this code block properly,formatting,0.234,1
Classify this animal image description into species,classification,0.255,1
Label this code snippet by programming language,classification,0.256,1
Classify this email as spam or not spam,classification,0.272,1
Classify this tweet as positive negative or neutral,classification,0.279,1
Rephrase this sentence in a more formal tone,rewriting,0.298,1
Determine the sentiment of this customer review,classification,0.301,1
Label these social media posts by campaign,classification,0.301,1
Label this support ticket by priority level,classification,0.309,1
Categorize this product by department,classification,0.313,1
Rewrite this paragraph to be more concise,rewriting,0.313,1
Create a TLDR for this blog post,summarization,0.321,1
Rewrite this headline to be more clickable,rewriting,0.323,1
Create a condensed version of this email chain,summarization,0.326,1
Rewrite this product description to be more compelling,rewriting,0.331,1
Classify this document as public confidential or secret,classification,0.338,1
Sort these feedback items into categories,classification,0.342,1
Classify this bug report by severity,classification,0.347,1
Determine the genre of this movie description,classification,0.35,1
Summarize this news article in 3 sentences,summarization,0.353,2
Categorize these customer inquiries by type,classification,0.353,2
Convert this passive voice paragraph to active voice,rewriting,0.355,2
Summarize this product review,summarization,0.358,2
Determine if this text contains hate speech,classification,0.361,2
Determine the difficulty level of this math problem,classification,0.368,2
Explain what an API is in simple terms,explanation,0.368,2
Edit this document to remove biased language,rewriting,0.37,2
Convert this informal email to a formal business letter,rewriting,0.371,2
Summarize the changes in this pull request,summarization,0.375,2
Explain the water cycle to a 5-year-old,explanation,0.377,2
Rewrite this to be more persuasive,rewriting,0.377,2
